Dist_Name,Year,State_Name,RICE_AREA_(1000_ha),RICE_PRODUCTION_(1000_tons),RICE_YIELD_(Kg_per_ha),WHEAT_AREA_(1000_ha),WHEAT_PRODUCTION_(1000_tons),WHEAT_YIELD_(Kg_per_ha),OILSEEDS_AREA_(1000_ha),OILSEEDS_PRODUCTION_(1000_tons),OILSEEDS_YIELD_(Kg_per_ha),MAIZE_AREA_(1000_ha),MAIZE_PRODUCTION_(1000_tons),MAIZE_YIELD_(Kg_per_ha),COTTON_AREA_(1000_ha),COTTON_PRODUCTION_(1000_tons),COTTON_YIELD_(Kg_per_ha),GROUNDNUT_AREA_(1000_ha),GROUNDNUT_PRODUCTION_(1000_tons),GROUNDNUT_YIELD_(Kg_per_ha),SUNFLOWER_AREA_(1000_ha),SUNFLOWER_PRODUCTION_(1000_tons),SUNFLOWER_YIELD_(Kg_per_ha),SUGARCANE_AREA_(1000_ha),SUGARCANE_PRODUCTION_(1000_tons),SUGARCANE_YIELD_(Kg_per_ha),PEARL_MILLET_AREA_(1000_ha),PEARL_MILLET_PRODUCTION_(1000_tons),PEARL_MILLET_YIELD_(Kg_per_ha),FINGER_MILLET_AREA_(1000_ha),FINGER_MILLET_PRODUCTION_(1000_tons),FINGER_MILLET_YIELD_(Kg_per_ha),SOYABEAN_AREA_(1000_ha),SOYABEAN_PRODUCTION_(1000_tons),SOYABEAN_YIELD_(Kg_per_ha),KHARIF_SORGHUM_AREA_(1000_ha),KHARIF_SORGHUM_PRODUCTION_(1000_tons),KHARIF_SORGHUM_YIELD_(Kg_per_ha),RABI_SORGHUM_AREA_(1000_ha),RABI_SORGHUM_PRODUCTION_(1000_tons),RABI_SORGHUM_YIELD_(Kg_per_ha)
Durg,1966,Chhattisgarh,548.0,185.0,337.59,44.0,20.0,454.55,50.7,-1.0,-1.0,3.0,2.0,666.67,0.0,0.0,0.0,0.2,0.1,500.0,0.0,0.0,0.0,0.9,1.6,1777.78,0.0,0.0,0.0,0.8,0.2,250.0,0.0,0.0,0.0,0.6,0.4,666.67,0.0,0.0,0.0
Durg,1967,Chhattisgarh,547.0,409.0,747.71,50.0,26.0,520.0,113.55,-1.0,-1.0,3.0,3.0,1000.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.8,1.2,1500.0,0.0,0.0,0.0,0.9,0.2,222.22,0.0,0.0,0.0,1.1,0.9,818.18,0.0,0.0,0.0
Durg,1968,Chhattisgarh,556.3,468.0,841.27,53.7,30.0,558.66,126.62,-1.0,-1.0,2.8,2.0,714.29,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.8,0.2,250.0,0.0,0.0,0.0,0.5,0.4,800.0,0.0,0.0,0.0
Durg,1969,Chhattisgarh,563.4,400.8,711.4,49.4,26.5,536.44,114.14,14.9,130.54,2.7,2.3,851.85,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,1.0,1.9,1900.0,0.0,0.0,0.0,0.8,0.2,250.0,0.0,0.0,0.0,0.8,0.6,750.0,0.0,0.0,0.0
Durg,1970,Chhattisgarh,571.6,473.6,828.55,44.2,29.0,656.11,126.4,24.3,192.25,2.5,3.3,1320.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.7,1.4,2000.0,0.0,0.0,0.0,0.8,0.2,250.0,0.0,0.0,0.0,0.9,0.6,666.67,0.0,0.0,0.0
Durg,1971,Chhattisgarh,581.8,412.9,709.69,44.4,25.8,581.08,124.2,20.2,162.64,2.7,3.1,1148.15,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2000.0,0.0,0.0,0.0,0.9,0.2,222.22,0.0,0.0,0.0,0.3,0.2,666.67,0.0,0.0,0.0
Durg,1972,Chhattisgarh,582.2,381.0,654.41,39.6,20.6,520.2,123.8,25.4,205.17,2.8,3.2,1142.86,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2000.0,0.0,0.0,0.0,0.8,0.1,125.0,0.0,0.0,0.0,0.3,0.3,1000.0,0.0,0.0,0.0
Durg,1973,Chhattisgarh,600.0,471.9,786.5,37.3,18.6,498.66,130.2,30.3,232.72,2.9,2.7,931.03,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,1.2,6000.0,0.0,0.0,0.0,0.8,0.2,250.0,0.0,0.0,0.0,0.2,0.2,1000.0,0.0,0.0,0.0
Durg,1974,Chhattisgarh,587.4,219.0,372.83,36.5,22.4,613.7,96.8,23.9,246.9,2.9,2.9,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5,1875.0,0.0,0.0,0.0,0.8,0.3,375.0,0.0,0.0,0.0,0.5,0.4,800.0,0.0,0.0,0.0
Durg,1975,Chhattisgarh,598.3,454.0,758.82,49.2,27.8,565.04,131.5,30.8,234.22,2.9,2.9,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,1750.0,0.0,0.0,0.0,0.8,0.2,250.0,0.0,0.0,0.0,0.2,0.2,1000.0,0.0,0.0,0.0
Durg,1976,Chhattisgarh,593.6,327.1,551.04,46.9,10.0,213.22,105.7,7.1,67.17,3.0,2.0,666.67,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.8,1333.33,0.0,0.0,0.0,0.8,0.2,250.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0
Durg,1977,Chhattisgarh,600.7,572.4,952.89,53.1,27.1,510.36,128.6,24.5,190.51,3.4,2.8,823.53,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.3,3000.0,0.0,0.0,0.0,0.8,0.2,250.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0
Durg,1978,Chhattisgarh,612.5,362.2,591.35,48.7,25.6,525.67,145.6,17.5,120.19,3.4,2.9,852.94,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.1,0.2,2000.0,0.0,0.0,0.0,0.7,0.2,285.71,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0
Durg,1979,Chhattisgarh,616.8,330.6,535.99,44.6,17.8,399.1,102.8,5.4,52.53,3.0,3.6,1200.0,0.0,0.0,0.0,0.1,0.2,2000.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.7,0.2,285.71,0.1,0.0,0.0,0.5,0.5,1000.0,0.0,0.0,0.0
Durg,1980,Chhattisgarh,634.9,515.6,812.1,44.1,33.6,761.9,113.4,19.8,174.6,3.0,2.8,933.33,0.0,0.0,0.0,0.1,0.2,2000.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.6,0.2,333.33,0.0,0.0,0.0,0.2,0.2,1000.0,0.0,0.0,0.0
Durg,1981,Chhattisgarh,630.0,506.9,804.6,41.5,23.6,568.67,117.1,15.8,134.93,3.0,3.0,1000.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.7,0.2,285.71,0.0,0.0,0.0,0.2,0.2,1000.0,0.0,0.0,0.0
Durg,1982,Chhattisgarh,627.9,513.3,817.49,41.1,23.9,581.51,117.9,15.9,134.86,3.0,3.1,1033.33,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.1,0.2,2000.0,0.0,0.0,0.0,0.6,0.2,333.33,1.2,0.7,583.33,0.1,0.1,1000.0,0.0,0.0,0.0
Durg,1983,Chhattisgarh,626.7,711.0,1134.51,39.9,20.6,516.29,119.8,22.4,186.98,3.0,3.7,1233.33,0.0,0.0,0.0,0.1,0.1,1000.0,0.0,0.0,0.0,0.2,0.3,1500.0,0.0,0.0,0.0,0.7,0.2,285.71,2.2,1.2,545.45,0.1,0.1,1000.0,0.0,0.0,0.0
Durg,1984,Chhattisgarh,632.2,563.8,891.81,40.5,19.9,491.36,120.3,18.1,150.46,3.6,4.1,1138.89,0.0,0.0,0.0,0.2,0.2,1000.0,0.0,0.0,0.0,0.3,0.5,1666.67,0.0,0.0,0.0,0.6,0.2,333.33,2.1,1.3,619.05,0.3,0.3,1000.0,0.0,0.0,0.0
Durg,1985,Chhattisgarh,630.8,699.8,1109.38,39.4,21.0,532.99,120.3,19.0,157.94,3.8,3.0,789.47,0.0,0.0,0.0,0.3,0.3,1000.0,0.0,0.0,0.0,0.3,0.3,1000.0,0.0,0.0,0.0,0.5,0.1,200.0,1.1,0.7,636.36,0.3,0.2,666.67,0.0,0.0,0.0
Durg,1986,Chhattisgarh,643.0,525.0,816.49,37.0,24.0,648.65,97.8,18.6,190.18,4.0,3.0,750.0,0.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.4,0.5,1250.0,0.0,0.0,0.0,0.6,0.1,166.67,0.8,0.4,500.0,0.2,0.1,500.0,0.0,0.0,0.0
Durg,1987,Chhattisgarh,648.0,523.0,807.1,43.0,23.0,534.88,93.2,22.4,240.34,4.0,3.0,750.0,0.0,0.0,0.0,1.0,1.0,1000.0,0.0,0.0,0.0,0.1,0.3,3000.0,0.0,0.0,0.0,0.4,0.1,250.0,0.5,0.3,600.0,0.3,0.2,666.67,0.0,0.0,0.0
Durg,1988,Chhattisgarh,652.7,549.7,842.19,43.7,20.2,462.24,86.1,15.0,174.22,3.8,4.0,1052.63,0.0,0.0,0.0,1.3,1.3,1000.0,0.0,0.0,0.0,0.2,0.5,2500.0,0.0,0.0,0.0,0.4,0.1,250.0,0.7,0.6,857.14,0.1,0.1,1000.0,0.0,0.0,0.0
